angles,ranges
66.51332,110.4
66.56562,110.3
66.62346,111.9
66.67478,111.9
66.7011,111.9
66.85874,110.4
67.04541,110.3
67.19166,110.4
67.3102,110.4
67.36305,110.3
67.39166,110.3
67.55083,110.4
67.75965,110.3
67.99694,110.4
68.05131,110.3
68.08221,110.3
68.24291,107.3
68.47388,108.8
68.68367,108.8
68.73958,108.8
68.77277,108.8
69.18812,108.8
69.3,108.8
69.37041,107.3
69.42784,107.2
69.43999,108.8
69.46332,107.2
69.73,108.8
69.90235,107.2
69.96534,107.2
70.05714,107.3
70.10763,108.8
70.11611,107.2
70.15388,107.2
70.39458,107.3
70.61659,107.2
70.63069,107.2
70.74388,105.7
70.77527,107.2
70.80437,107.2
70.84444,107.2
71.05916,107.3
71.29604,107.2
71.43061,105.7
71.44291,107.2
71.49263,105.7
71.53499,105.7
71.72375,105.7
71.96139,105.7
72.11055,105.7
72.11735,105.7
72.1809,104.1
72.22555,104.1
72.38833,105.7
72.62673,105.7
72.77819,104.1
72.80409,104.1
72.91611,104.1
73.05291,104.2
73.29208,104.1
73.44583,104.1
73.7175,104.2
73.95743,104.1
74.11347,104.1
74.38208,102.6
74.41,104.1
74.62277,102.6
74.78111,102.6
74.98,104.1
75.04666,102.6
75.07229,104.1
75.28812,102.6
75.44874,102.6
75.64458,102.6
75.71125,102.6
75.73458,102.6
75.95347,102.6
76.11638,102.6
76.30916,102.6
76.37583,101.1
76.39687,102.6
76.61882,101
76.62,102.6
76.78402,101
76.97375,101
77.04041,101.1
77.05916,101
77.29069,101
77.63833,101
77.72146,101
77.96138,101
78.30291,101
78.38374,101
78.63208,99.5
78.72,99.5
78.9675,99.5
79.04604,99.5
79.30277,99.5
79.40673,99.5
79.63208,99.5
79.70833,99.5
79.97347,99.5
80.09347,99.5
80.29666,97.9
80.37062,99.5
80.64416,99.5
80.66999,99.5
80.7802,99.5
80.87999,99.5
80.96125,97.9
81.03291,97.9
81.31486,97.9
81.33381,99.5
81.46694,99.5
81.54457,99.5
81.62583,97.9
81.69521,97.9
81.98555,97.9
81.99763,97.9
82.15367,97.9
82.20915,97.9
82.29041,97.9
82.45999,97.9
82.65624,97.9
82.66145,97.9
82.84041,97.9
82.87374,97.9
83.12534,97.9
83.32527,97.9
83.32694,96.4
83.52715,97.9
83.53832,97.9
83.79068,97.9
83.98909,97.9
83.99764,96.4
84.2029,97.9
84.21388,97.9
84.45603,97.9
84.6529,96.4
84.86749,96.4
84.90062,96.4
85.12138,96.4
85.31673,96.4
85.53207,96.4
85.58735,96.4
85.78673,96.4
85.98055,96.4
86.19665,96.4
86.27409,94.8
86.45207,96.4
86.52999,96.3
86.64436,96.4
86.86124,96.4
86.92999,96.4
87.06999,96.4
87.11742,96.4
87.19228,96.3
87.30819,96.4
87.52582,96.4
87.59534,96.4
87.73381,96.4
87.78277,96.4
87.85458,96.3
87.972,94.8
87.98,96.4
88.1904,94.8
88.26069,96.4
88.39763,96.4
88.44811,96.4
88.51686,94.8
88.63847,96.4
88.92604,96.4
89.06145,94.8
89.11346,94.8
89.17916,96.3
89.29694,94.8
89.59138,94.8
89.65,96.3
89.72527,94.8
89.77881,94.8
89.84145,94.8
89.95541,94.8
89.98374,87
90.11249,87
90.13374,87
90.17479,88.6
90.25673,94.8
90.33979,96.3
90.38909,94.8
90.39249,85.5
90.46145,87
90.50374,94.8
90.61388,94.8
90.92208,94.8
91.02958,94.7
91.05291,94.8
91.16603,93.2
91.27236,94.8
91.58742,93.2
91.71673,94.8
91.71937,94.7
91.82832,94.8
91.93083,94.8
91.98999,94.8
92.25277,94.8
92.38055,94.8
92.40916,93.2
92.48,94.8
92.49062,93.2
92.5893,93.2
92.66298,94.8
92.91812,94.8
93.04436,94.8
93.09895,94.7
93.14076,94.8
93.15291,94.8
93.24778,93.2
93.33596,94.8
93.58347,93.2
93.70819,93.2
93.78875,94.7
93.80152,93.3
93.8152,93.2
93.90625,93.2
94.00895,94.8
94.24881,93.2
94.37201,93.2
94.46229,93.3
94.47854,93.2
94.56472,93.2
94.68194,94.8
94.76,93.3
95.12305,93.3
95.16832,93.2
95.22319,93.2
95.27999,93.3
95.35492,93.2
95.40319,93.3
95.78381,93.3
95.85812,93.2
95.94,93.3
95.95527,93.3
96.0279,93.2
96.04638,93.3
96.44458,93.3
96.54791,93.2
96.58777,93.3
96.63055,93.3
96.68958,93.3
96.7009,93.2
97.10534,93.3
97.23555,93.3
97.2377,93.2
97.30582,93.3
97.33277,93.3
97.37388,93.2
97.7661,93.3
97.88333,93.3
97.97597,93.3
97.9811,93.3
98.04686,93.2
98.42687,93.3
98.53111,93.3
98.61916,93.3
98.65638,93.3
98.71985,93.2
99.08764,93.3
99.17889,93.3
99.26235,93.3
99.33166,93.3
99.39283,93.2
99.7484,93.3
99.82666,93.3
99.90555,93.3
100.00694,93.3
100.47444,93.3
100.54874,93.3
100.68221,93.3
101.12222,93.3
101.19194,93.3
101.35749,93.3
101.77,93.3
101.83514,93.3
102.03277,93.3
102.26,93.2
102.41777,93.3
102.70805,93.3
102.92381,93.2
103.06555,94.8
103.58763,93.2
104.25145,93.2
104.35999,93.2
104.91527,93.2
105.02534,93.2
105.08999,93.3
105.57909,93.2
105.69069,93.2
105.76297,93.3
106.24291,94.8
106.35604,94.7
106.43596,94.8
106.88999,94.8
106.90673,93.2
107.02138,94.7
107.10895,94.8
